(epoch: 49, iters: 4124, time: 0.083, data: 0.004) G_GAN: 1.823 G_L1: 6.330 D_real: 0.015 D_fake: 0.884
End of epoch 49 / 60     Time Taken: 241 sec
update learning rate: 0.000080 -> 0.000073
(epoch: 50, iters: 62, time: 0.681, data: 0.002) G_GAN: 4.292 G_L1: 13.047 D_real: 0.464 D_fake: 0.030
(epoch: 50, iters: 162, time: 0.083, data: 0.002) G_GAN: 1.830 G_L1: 4.354 D_real: 0.448 D_fake: 0.266
(epoch: 50, iters: 262, time: 0.083, data: 0.002) G_GAN: 2.301 G_L1: 4.836 D_real: 0.457 D_fake: 0.178
(epoch: 50, iters: 362, time: 0.084, data: 0.002) G_GAN: 1.623 G_L1: 5.366 D_real: 0.216 D_fake: 0.607
(epoch: 50, iters: 462, time: 0.209, data: 0.002) G_GAN: 1.723 G_L1: 3.799 D_real: 0.201 D_fake: 0.373
(epoch: 50, iters: 562, time: 0.080, data: 0.002) G_GAN: 1.578 G_L1: 6.394 D_real: 0.099 D_fake: 0.815
(epoch: 50, iters: 662, time: 0.084, data: 0.002) G_GAN: 2.089 G_L1: 4.650 D_real: 0.282 D_fake: 0.262
(epoch: 50, iters: 762, time: 0.083, data: 0.002) G_GAN: 2.776 G_L1: 40.559 D_real: 0.001 D_fake: 0.175
(epoch: 50, iters: 862, time: 0.230, data: 0.002) G_GAN: 1.606 G_L1: 6.212 D_real: 0.316 D_fake: 0.358
(epoch: 50, iters: 962, time: 0.082, data: 0.002) G_GAN: 1.673 G_L1: 4.545 D_real: 0.338 D_fake: 0.414
(epoch: 50, iters: 1062, time: 0.083, data: 0.002) G_GAN: 1.689 G_L1: 7.548 D_real: 0.282 D_fake: 0.438
saving the latest model (epoch 50, total_iters 205000)
(epoch: 50, iters: 1162, time: 0.083, data: 0.001) G_GAN: 2.814 G_L1: 25.594 D_real: 0.001 D_fake: 0.185
(epoch: 50, iters: 1262, time: 0.195, data: 0.002) G_GAN: 2.678 G_L1: 24.154 D_real: 0.000 D_fake: 0.166
(epoch: 50, iters: 1362, time: 0.081, data: 0.002) G_GAN: 2.316 G_L1: 4.835 D_real: 0.338 D_fake: 0.195
(epoch: 50, iters: 1462, time: 0.083, data: 0.002) G_GAN: 1.728 G_L1: 5.298 D_real: 0.585 D_fake: 0.265
(epoch: 50, iters: 1562, time: 0.082, data: 0.002) G_GAN: 1.218 G_L1: 4.015 D_real: 0.212 D_fake: 0.869
(epoch: 50, iters: 1662, time: 0.199, data: 0.002) G_GAN: 1.396 G_L1: 3.977 D_real: 0.708 D_fake: 0.213
(epoch: 50, iters: 1762, time: 0.084, data: 0.002) G_GAN: 2.475 G_L1: 29.054 D_real: 0.000 D_fake: 0.340
(epoch: 50, iters: 1862, time: 0.084, data: 0.002) G_GAN: 2.179 G_L1: 5.541 D_real: 0.118 D_fake: 0.376
(epoch: 50, iters: 1962, time: 0.084, data: 0.002) G_GAN: 2.630 G_L1: 22.849 D_real: 0.000 D_fake: 0.257
(epoch: 50, iters: 2062, time: 0.326, data: 0.002) G_GAN: 1.889 G_L1: 4.540 D_real: 0.539 D_fake: 0.206
(epoch: 50, iters: 2162, time: 0.082, data: 0.002) G_GAN: 2.279 G_L1: 34.025 D_real: 0.000 D_fake: 0.281
(epoch: 50, iters: 2262, time: 0.084, data: 0.002) G_GAN: 3.475 G_L1: 39.114 D_real: 0.001 D_fake: 0.075
(epoch: 50, iters: 2362, time: 0.084, data: 0.002) G_GAN: 1.897 G_L1: 6.905 D_real: 0.932 D_fake: 0.162
(epoch: 50, iters: 2462, time: 0.227, data: 0.002) G_GAN: 2.789 G_L1: 49.240 D_real: 0.002 D_fake: 0.328
(epoch: 50, iters: 2562, time: 0.083, data: 0.002) G_GAN: 2.061 G_L1: 7.989 D_real: 0.738 D_fake: 0.144
(epoch: 50, iters: 2662, time: 0.084, data: 0.002) G_GAN: 1.925 G_L1: 5.049 D_real: 0.248 D_fake: 0.450
(epoch: 50, iters: 2762, time: 0.080, data: 0.002) G_GAN: 2.201 G_L1: 4.931 D_real: 0.044 D_fake: 0.249
(epoch: 50, iters: 2862, time: 0.276, data: 0.002) G_GAN: 1.976 G_L1: 8.528 D_real: 0.295 D_fake: 0.524
